1: 245区，幻音坊急收人啊。求伙伴
406: 人物形象不错，代入感蛮强的，赞赞赞

407: 我安装了三遍，才安上...
我觉得最坑的就是同一个游戏账号， 同一个区，换个手机登录之后游戏人物级数就变成2级了...怎么给我解决

408: 还是装不了，

409: 我安装得了，打开后竟然说我手机配置过低。

410: 一更新都就不进去了

411: 还能不能修好，2天了哈

412: 一更新就不能好好的安装，程序员你们怎么了

413: 傻子你们不良人你们在修好修不好举披

414: 更新安装不上

415: 太垃圾了

416: 表示华为荣耀3C  一显示获取区服  就停止运行

417: 什么时候能修改哈，总是安装失败

418: 华为荣耀6无法安装，求解决

419: 还不能安装，让玩不，无语

420: 什么时候能安啊，三星G9152

421: 玩几分钟就自动掉线是啥情况。

422: 华为M7为什么更新后无法安装！！！

423: 这什么时候能好呀！游戏都玩不了。

424: 我的手机型号是vivoy22l

425: 怎么这个游戏下载好了，不能安装呀，这是什么情况？？？

426: 华为mate7 无法安装

427: 我以前是用360登的，现在是微信和登录，怎么搞的，我以前的都不在了

428: 还是蛮好玩的

429: 华为畅玩版4X，不能安装，其他平台：如qq,微博平台均能安装新版本！下载360平台的旧版本也是不能安装！！！

430: 169区。不良,燕子。帐号忘了能找回吗？能就联系18958990122。帐号的前几个数字是789213，后面两数字不知道是45还是54。再有五个英文字母真记不清了。

431: 怎么搞的，安装不了

432: 下载后无法安装，试了好多次。什么情况？

433: 下载后无法安装，试了好多次。什么情况？

434: 我擦只有80多区。

435: 安装不上，啊！程序员，能解决下不？

436: 哔了狗了，配置低玩不了，好吧，不玩了

437: 还是安装不了，什么情况啊

438: 安装不了

439: 安装不上

440: 360下载的和QQ浏览器下载的不一样，QQ下载的是1到90区的，360下载的是90到200区的，两个不能互通的

441: 为什么？安装不上？别的版本都可以玩了！

442: 能安装？

443: 郁闷，跟上次一样，更新安装不了

444: 流量上不了，玩个球啊！

445: 总是安装失败，还让不让人玩了？

446: 总是安装失败，还让不让人玩了？

447: 程序猿，你出来，我保证不打死你

448: 擦擦擦，没人解决吗，

449: 安装不了，真是神奇

450: 草了。一直安装失败。没人管啊

451: 一个劲的伞退

452: 安装不了

453: 今天更新后绝对出问题了    流量玩的时候秒退    WIFI下没事

454: 更新以后每次到服务器那就闪退

455: 安装不了啊？白玩了几个星期了，白充钱了？！

456: 之前我是手机号登陆的，现怎么登陆呀，服务区也不知道！咋弄了

457: 好不容易升级了，我账号，服务区都不知道那去了，要我重新玩吗！我想骂人了

458: 妈的，还是用不了

459: 游戏总是玩着闪退了，怎么回事

460: 更新后安装包安装不了，下了N次了，总是不行

461: 安装不了怎么回事，今天还能登上去不

462: 安装的是神庙2的，搞什么

